study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA230824	SAMN02742684	SRX531145	SRR1268166	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/006/SRR1268166/SRR1268166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/006/SRR1268166/SRR1268166_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/006/SRR1268166
PRJNA230824	SAMN02742686	SRX531146	SRR1268167	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/007/SRR1268167/SRR1268167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/007/SRR1268167/SRR1268167_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/007/SRR1268167
PRJNA230824	SAMN02742685	SRX531147	SRR1268168	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/008/SRR1268168/SRR1268168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/008/SRR1268168/SRR1268168_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/008/SRR1268168
PRJNA230824	SAMN02742682	SRX531148	SRR1268169	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/009/SRR1268169/SRR1268169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/009/SRR1268169/SRR1268169_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/009/SRR1268169
PRJNA230824	SAMN02742683	SRX531149	SRR1268170	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/000/SRR1268170/SRR1268170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/000/SRR1268170/SRR1268170_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/000/SRR1268170
PRJNA230824	SAMN02742689	SRX531150	SRR1268171	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/001/SRR1268171/SRR1268171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/001/SRR1268171/SRR1268171_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/001/SRR1268171
PRJNA230824	SAMN02742687	SRX531151	SRR1268172	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/002/SRR1268172/SRR1268172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/002/SRR1268172/SRR1268172_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/002/SRR1268172
PRJNA230824	SAMN02742694	SRX531152	SRR1268173	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/003/SRR1268173/SRR1268173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/003/SRR1268173/SRR1268173_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/003/SRR1268173
PRJNA230824	SAMN02742690	SRX531153	SRR1268174	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/004/SRR1268174/SRR1268174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/004/SRR1268174/SRR1268174_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/004/SRR1268174
PRJNA230824	SAMN02742688	SRX531154	SRR1268175	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/005/SRR1268175/SRR1268175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/005/SRR1268175/SRR1268175_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/005/SRR1268175
PRJNA230824	SAMN02742693	SRX531155	SRR1268176	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/006/SRR1268176/SRR1268176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/006/SRR1268176/SRR1268176_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/006/SRR1268176
PRJNA230824	SAMN02742691	SRX531156	SRR1268177	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/007/SRR1268177/SRR1268177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/007/SRR1268177/SRR1268177_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/007/SRR1268177
PRJNA230824	SAMN02742692	SRX531157	SRR1268178	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/008/SRR1268178/SRR1268178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/008/SRR1268178/SRR1268178_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR126/008/SRR1268178
