"D0_32F_MEF" "D3_32F_MEF" "D7_32F_MEF" "D13_Primed_32F_KSR" "D21_Primed_32F_KSR" "P3_Primed_32F_KSR" "P10_Primed_32F_KSR" "D13_Naive_32F_Naive" "D21_Naive_32F_Naive" "P3_Naive_32F_Naive" "P10_Naive_32F_Naive"
"ABCC9" 0.582809764661041 0.692973528564558 0.0488076223149797 0.0259189510879951 0.00911153055747578 0 0 0.0117792151653411 0.0248568888730478 0.226481905518049 0.0884216026073074
"ABCD1" 2.80743390620605 2.13020418205064 0.724843842606362 0.554472879984857 1.2403937743837 0.9553352631207 0.351729827548514 4.81067315728665 3.60947249002758 3.2065284048248 2.28707404245907
"ABCD2" 0 0.249238821044614 0.384132199618631 0.0728538408332611 0.0179276929961272 0 0 0.0927063359498033 0 0 0
"ABCD3" 1.74370318301004 7.57626683287967 3.95780954515715 3.07801374426617 2.58878208540223 2.08816183286557 2.53303727015783 2.91969807163836 2.02580561998183 2.41354189581928 1.85623085265509
"ABCD4" 2.73027689062793 4.02740480719718 7.87017023021362 3.9180269715646 11.8263018157297 8.1390112446122 7.22119843890457 7.35298104233844 6.18137128983342 5.17235118145643 5.92344408421393
"ABCE1" 18.8100610728211 52.2413298317155 44.2796876544947 37.332996061011 43.1353477203189 29.4733863905459 38.6102181670814 49.2367714818173 32.1539198556797 45.8457587669384 39.334067439756
"ABCF1" 2.6154183375822 5.55067855719535 5.12732885250264 4.18981890307074 8.86607418061444 6.26111030032921 4.15883326104071 6.59652919562513 5.18393323989852 4.34669906259354 5.24051689381056
"ABCF2" 14.2106536244153 30.2169444183981 20.8593870698174 17.6335149288664 23.0542389862882 17.5131025051102 9.45190146247743 24.2214476387472 22.3790469611773 10.1106207089101 15.3093957398179
"ABCF3" 20.4068092484935 32.0521482397948 25.7511594900822 29.4529095898556 31.7281250756853 28.4670796179301 12.8527479300483 43.0281856449576 36.8666707046435 10.360750365402 24.6019137683061
"ABCG1" 0 0.0336546737991139 0.00707308674305983 0.00393497648236282 0.0169454124385031 0.00219346853441181 0.00980631150813131 0.00625906005016614 0.00880538349020566 0.0168482310393509 0.00469841252309815
"ABCG2" 0.00772160061855425 0.0577524054793628 0.74511524592999 0.406558868498504 2.13037002137496 2.23428103721526 1.43514090833872 0.228240518449502 0.363906291640536 3.47564236436391 1.58766296235912
"ABCG4" 0.0303148229969474 0.264523688237116 0.13501407629687 0.0375562490830059 0.600713678736117 0.251219139946596 0.224624434266778 0 0.0560269635005933 0.0918874776882233 0.627797021213013
"ABCG5" 0.33793065801034 0.114886144781158 0.136822941065839 0.228356476415365 0.0468278308554527 0.0424308123052607 0 0.242152552479785 0.113555180843278 0.139677824223086 0.318103997711566
"ABCG8" 0.0409809932836237 0 0 0.0253851456032539 0 0 0.0253048165934961 0.403781703461595 0 0.217381120323428 0
"ABHD1" 0.345715869379909 1.00555908308929 0.17108062126057 0.142766145610099 1.58091930330512 0.477491618430671 1.28082937486274 0.454173935986429 0.319470946560936 0 0
"ABHD10" 4.00724759362294 12.879751751383 14.3440943273321 9.75597228689112 7.15109733939661 5.5732504539587 9.22505090203353 7.86908912700478 5.10941900539933 8.9510904416065 5.70045524526716
"ABHD11" 0.976930889917923 3.04449554713451 3.48079015263073 2.11801516123269 2.97826247632482 2.63114565579274 1.99066644176362 2.69516916113461 5.46174311278591 3.18327090384979 3.5405122757788
"ABHD11-AS1" 0 1.08262522986193 0 1.07595429910444 0 1.19953545345387 0 0 0 0 0
"ABHD12" 0.523682752304883 1.24085841076435 0.552565937180298 0.26808966896547 0.897203462016349 0.609718691870815 0.427586117318165 0.73345842659459 0.583912549270644 0.623128770128482 0.33290661282764
"ABHD12B" 0.148017937065282 0.338272952867773 13.001522377424 20.5380659335682 16.432879320497 12.027745757353 14.471295623392 25.6193356160479 9.72286342554501 14.3944516103593 13.9582417062958
"ABHD13" 4.59877835968275 13.8857056816127 13.3510491722257 10.8881874858682 7.0098965888613 6.28111020725281 7.76168101109926 12.6871672723456 5.33568848634922 5.5757560446384 4.68627572362557
"ABHD14A" 3.67031748786427 5.22886070532828 1.94602475098663 0.811975228150073 0.799235425023136 1.2673310604588 0.161881161116255 0 0.605658280335767 2.38395550615701 0.58170531856826
"ABHD14A-ACY1" 0 0 0 0 0 0 0 0 0 0 0
"ABHD14B" 10.5350555591743 4.61561640229976 6.0204577739776 2.78507105293429 2.68762116730265 2.06997110761021 2.55851222485243 3.30078074394189 4.68434445704336 3.80789603768272 3.26020652231752
"ABHD15" 16.1785305764667 17.9442490884701 5.67360851621457 5.6815263839396 5.63121985111812 3.51893938501419 2.20249077407936 19.078450362293 6.47455755300707 6.56425687910061 2.82658981913677
"ABHD16A" 0.182992869106531 0.316697380904997 0.197815793785077 0.182684713327692 0.259978424125506 0.245382382566145 0.184300679696317 0.315089261431229 0.305366885079365 0.158862082435373 0.218127897008937
"ABHD16B" 0.911527127073755 3.40880646699769 4.05969690450759 5.08170307482435 2.08415487733018 1.88845784226184 1.1256938850145 1.79623745854093 4.21164401021775 0 3.37089934511919
"ABHD17A" 1.13684843938412 1.00381051860559 0.773547116167879 0.997625229108777 0.505427072311345 0.654241012768616 0 0.746750404112519 1.53204466102022 0.358948902995267 0.490484792351611
"ABHD17B" 0.972736334126736 3.16969915077621 3.91427671432062 3.89014043230846 8.49322442979056 7.34217566097746 9.72618883020728 8.30637218710407 4.97544235828317 8.625562345035 7.56054821724626
"ABHD17C" 1.62394532920729 2.24182818568746 1.87290886689027 0.980991444332793 3.62099923175151 2.66928510781014 2.43643078334387 2.48603958049656 1.9595446973507 2.82730155613157 2.04484049478192
"ABHD2" 5.05317291105047 5.21240477183876 4.52424216586604 3.16524311265032 2.20380888202897 2.03113676741684 2.05242920419118 2.13678197430374 2.16450277240326 2.64229336610002 2.2434922883144
"ABHD3" 0.447696951792862 1.5492937594689 0.644800624444642 0.513249101996525 1.08983874776782 0.71063484250482 1.45235475747215 2.7125059917446 1.35227650567142 1.5393033711964 1.2948420915963
"ABHD4" 15.5936409210912 16.6512192376157 26.2139278553827 26.420968858751 31.8089359165752 24.4671588759313 19.9654196408945 39.5403783635186 17.9593401754213 18.6804951298587 14.2470216843193
"ABHD5" 8.56640272397649 13.6570641533052 8.86827612591615 8.43976889781463 8.87305556668334 9.02294161834895 5.27385976641657 16.7305109538539 8.78521191798158 11.3262779461021 9.21235890492894
"ABHD6" 0.495258345007295 4.09226015596499 2.52085439658951 1.13947365417456 1.16473372233084 0.54722789352538 0.436872266267885 1.171135644175 1.08531024641746 1.20094490095084 0.502355518718809
"ABHD8" 0.499519758607992 0.62267892088682 0.847514966928852 0.353624052460668 1.19651032012467 0.591360509187521 0.264378780717501 0.843723281240063 0.527541550711221 0.43259940787327 0.738905415825119
"ABI1" 0.647476287744124 1.11997289417802 0.65335547603725 0.502159620944807 0.711247068502993 0.6029632191046 0.639537124381205 0.956637802396599 0.695230995488866 0.82502943749345 0.732922998442327
"ABI2" 1.52790463935321 2.25911113907059 5.1536199308645 4.35696289241744 7.01258346734186 4.45532050121748 7.53717615990989 4.5958704953402 3.78480081098167 4.7817071084832 4.00997919826078
"ABI3" 0.0622691044573809 8.07267468882658 28.8423054485026 4.74433021894517 0.616957301943728 0.344016322061392 0.192248667184566 0.736237647442575 0.172625888810217 0 0.184220855048286
"ABI3BP" 6.28238252737853 3.46314498323139 2.28368343048171 0.447681176532307 0.0758011079420207 0.0228945232273425 0.122825099922944 0.130658993691274 0.0428899214723596 0.165806060219403 0.0833681687346112
"ABL1" 4.44049132798871 3.66642288387268 3.06505178110593 2.95673398129434 4.86511635402661 4.09694574358648 2.95621537671223 2.9191320214234 3.42224933418585 2.37522443878401 2.15951182291979
"ABL2" 2.31769346204088 1.51254593770043 2.07226139040622 2.25159076464786 1.53143427656467 1.00089427843065 1.14619286801437 2.26086793809953 1.2385302803127 1.01880964873115 1.05799660689597
"ABLIM1" 0.245727189634076 2.79570923797286 3.8694958895525 2.44023255258227 2.38856839680424 2.31243431467432 1.54620974382869 1.48341998048222 0.916401262753384 1.02117933604998 0.931797131440433
"ABLIM2" 0.00114032627436274 0.0135040559588654 0.00423225569181235 0.00141272068783564 0.00782187330208297 0.00236247285637096 0.00633712617134693 0.00449420913131649 0.0168601396244794 0.0164181430068361 0.00253021000295071
"ABLIM3" 4.23478310656421 0.843875408449862 0.0404429851118965 0.0236246650333271 0.0290674957565494 0.00752517975558605 0.00504640862270784 0.0161048191162467 0.0390197243311022 0.0309651370679027 0.00805947253118251
"ABO" 0 0 0.598799224503811 0.149908721362169 0.36889167452047 0.0557089417290715 0.0498114495661188 0.158965403945021 0.521817404176072 1.52823371895135 1.73026509737909
"ABR" 1.12771624538108 0.640913467399425 0.828656693397787 0.480362565136949 1.06732181426073 0.419797207119188 0.529708554231133 3.033910518036 2.7115755209798 1.76077529378017 1.55890416658302
"ABRA" 0.752124223045433 0.37502572541584 0.223317280010081 0.559072332335257 0.573229737678623 0.519404870200246 0.278651599115278 0.296424245155982 0.0695026924562973 0.113988456688034 0
"ABRACL" 3.76456152391913 22.9805920141596 15.5335259986166 13.7856966527483 37.8052951197593 34.0260812506298 24.6126681595947 22.4733004456586 13.9151035859648 9.06150928491044 10.8097486529646
"ABT1" 18.2364101122963 33.124777873059 31.3277415456949 37.1164408683663 37.3283072461119 42.4589993656399 28.6340003606263 51.337588129525 52.2411943477901 35.9297338750476 52.0249003531236
"ABTB1" 1.24959883536259 1.13669550983626 0.902493641557826 0.75312760553161 0.308879631337956 0.419814886450999 0.0834160445523322 0.133104590744302 0.0312090781580786 0 0.149874007683857
"ABTB2" 0.132936726631038 0.463021504245805 0.597869015006267 0.469856210722716 0.85225828798516 0.534623070105022 0.241427522169836 1.35604119330527 1.04056833162575 0.906627300210238 0.613067236443236
"ACAA1" 1.65232716133152 4.95257773906516 2.31519768420553 2.25402788740575 2.6035324488844 1.97443662197903 1.23808512062697 3.14628918630825 1.74992026362753 1.85704004398856 1.64775813305764
"ACAA2" 20.3304936396754 68.1572775562136 120.293611588513 93.6834662058079 85.2520746530218 50.0137339824621 74.8938838197439 131.897684650703 62.2953973211903 107.902408182973 93.4131269440257
"ACACA" 1.32273207895393 1.7800515460314 1.91753488089022 1.25421183810023 3.09909445366761 1.89463961797762 2.19327921013244 3.23579833756831 3.32766476245847 3.62508381876595 2.93140244591957
"ACACB" 0.703699027006709 0.321117724141956 0.764866320985245 0.817307343147588 2.03994126642159 0.902503104366075 1.52081262215032 1.33717064654627 1.11476213766479 1.7330520791091 1.42198998245821
